DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2016/01/04,4409,3697,1060.2,891.7,120.32
2016/01/05,4417,3655,1075.2,884.5,119.443
2016/01/06,4421,3666,1078.4,890,119.06
2016/01/07,4470,3611,1091.9,875,118.469
2016/01/08,4494,3559,1107.8,877.5,117.665
2016/01/12,4435,3434,1096.2,846.3,117.748
2016/01/13,4411,3402,1085.2,838.6,117.634
2016/01/14,4419,3422,1087.1,851.3,117.673
2016/01/15,4385,3415,1073.6,834.8,118.053
2016/01/18,4392,3338,1090.7,827.5,116.994
2016/01/19,4405,3334,1090.7,827.5,117.279
2016/01/20,4403,3351,1089.1,830.3,117.623
2016/01/21,4427,3343,1106.2,819.2,116.941
2016/01/22,4454,3340,1098.2,819.5,117.702
2016/01/25,4473,3419,1096.3,831.6,118.771
2016/01/26,4499,3494,1105.3,861.5,118.295
2016/01/27,4557,3584,1120.2,876.9,118.412
2016/01/28,4579,3591,1115.8,882.1,118.662
2016/01/29,4555,3547,1115.6,867.9,118.814
2016/02/01,4663,3640,1116.4,874.3,121.038
2016/02/02,4697,3620,1128,870.1,120.97
2016/02/03,4647,3529,1127.2,855.7,119.962
2016/02/04,4643,3594,1141.3,880.1,117.868
2016/02/05,4642,3649,1157.5,906.3,116.771
2016/02/08,4702,3655,1157.7,903.7,116.898
2016/02/09,4734,3689,1197.9,928.7,115.846
2016/02/10,4709,3691,1198.6,939.4,115.102
2016/02/12,4787,3707,1247.8,963.2,112.412
2016/02/15,4815,3719,1239.4,958.1,113.287
2016/02/16,4758,3698,1239.4,958.1,114.568
2016/02/17,4718,3664,1208.2,937.3,114.041
2016/02/18,4743,3708,1211.4,949.7,114.071
2016/02/19,4794,3678,1226.3,945.6,113.229
2016/02/22,4754,3629,1230.8,945.6,112.636
2016/02/23,4695,3604,1210.1,927.8,112.899
2016/02/24,4745,3640,1222.6,943.5,112.109
2016/02/25,4733,3622,1239.1,943.7,112.16
2016/02/26,4806,3612,1238.8,927,112.992
2016/02/29,4782,3589,1220.4,915.1,113.975
2016/03/01,4803,3627,1234.4,934.3,112.676
2016/03/02,4822,3672,1230.8,936.7,113.975
2016/03/03,4851,3652,1241.8,936.2,113.45
2016/03/04,4925,3704,1258.2,942.7,113.669
2016/03/07,4936,3840,1270.7,986.3,113.819
2016/03/08,4938,3895,1264,1002,113.437
2016/03/09,4886,3785,1262.9,989.4,112.622
2016/03/10,4891,3815,1257.4,982.8,113.316
2016/03/11,4941,3822,1272.8,977.7,113.183
2016/03/14,4910,3771,1259.4,969.7,113.796
2016/03/15,4840,3758,1245.1,965.4,113.82
2016/03/16,4801,3741,1231,959.8,113.17
2016/03/17,4898,3806,1229.8,958.7,112.557
2016/03/18,4824,3771,1265,989.1,111.383
2016/03/22,4808,3783,1244.2,981.8,111.947
2016/03/23,4824,3841,1248.6,996.8,112.334
2016/03/24,4738,3729,1224,960.8,112.362
2016/03/25,4742,3694,1221.6,952.4,112.891
2016/03/28,4722,3672,1221.6,952.4,113.143
2016/03/29,4768,3698,1220.1,944.7,113.437
2016/03/30,4801,3749,1235.8,965.2,112.673
2016/03/31,4742,3739,1226.9,964.3,112.415
2016/04/01,4763,3778,1234.2,976.6,112.569
2016/04/04,4695,3690,1222.2,953.6,111.601
2016/04/05,4660,3602,1219.3,943.5,111.327
2016/04/06,4688,3630,1229.6,951.6,110.332
2016/04/07,4633,3590,1223.8,944.7,109.781
2016/04/08,4639,3585,1237.5,954.7,108.19
2016/04/11,4634,3613,1243.8,968.4,108.097
2016/04/12,4682,3693,1258,990.8,107.94
2016/04/13,4692,3743,1260.9,999.7,108.538
2016/04/14,4647,3747,1248.3,1003,109.331
2016/04/15,4634,3735,1226.5,992.9,109.39
2016/04/18,4611,3666,1234.6,989.9,108.76
2016/04/19,4621,3680,1235,977.8,108.814
2016/04/20,4701,3799,1254.3,1015.7,109.198
2016/04/21,4700,3837,1254.4,1028.1,109.834
2016/04/22,4700,3834,1250.3,1031.9,109.457
2016/04/25,4720,3825,1230,1011.2,111.752
2016/04/26,4725,3845,1240.2,1018.5,111.202
2016/04/27,4758,3870,1243.4,1020.1,111.307
2016/04/28,4775,3898,1250.4,1025.4,111.44
2016/05/02,4725,3904,1290.5,1078.4,106.393
2016/05/06,4717,3896,1272.3,1063.8,107.254
2016/05/09,4756,3950,1294,1085.1,107.118
2016/05/10,4707,3869,1266.6,1046.8,107.118
2016/05/11,4760,3926,1264.8,1049.3,109.264
2016/05/12,4760,3950,1275.5,1066.1,108.401
2016/05/13,4759,3917,1271.2,1054,108.998
2016/05/16,4774,3918,1272.7,1052.1,108.585
2016/05/17,4788,3934,1274.2,1053.5,109.024
2016/05/18,4794,3926,1276.9,1054.5,109.142
2016/05/19,4773,3886,1274.4,1042.5,110.196
2016/05/20,4760,3845,1254.8,1013.3,109.955
2016/05/23,4741,3872,1252.9,1023.3,110.213
2016/05/24,4706,3811,1251.5,1013.1,109.228
2016/05/25,4654,3799,1229.2,1004.2,109.991
2016/05/26,4640,3765,1223.8,994.8,110.169
2016/05/27,4624,3762,1220.4,995.8,109.758
2016/05/30,4609,3729,1213.8,982.2,110.325
2016/05/31,4628,3739,1213.8,982.2,111.113
2016/06/01,4640,3739,1217.5,980.4,110.707
2016/06/02,4573,3668,1214.7,971.9,109.531
2016/06/03,4547,3602,1212.6,960.1,108.874
2016/06/06,4596,3635,1242.9,981.9,106.624
2016/06/07,4603,3692,1247.4,996.5,107.541
2016/06/08,4585,3691,1247,999.4,107.336
2016/06/09,4643,3729,1262.3,1012,106.988
2016/06/10,4663,3685,1272.7,1003.8,107.081
2016/06/13,4688,3660,1275.9,994.2,106.95
2016/06/14,4688,3645,1286.9,995.3,106.187
2016/06/15,4680,3566,1288.1,971.9,106.089
2016/06/16,4704,3575,1288.3,974.8,106.008
2016/06/17,4614,3527,1298.4,978.3,104.257
2016/06/20,4635,3509,1294.8,966.1,104.169
2016/06/21,4620,3549,1292.1,987.2,103.932
2016/06/22,4571,3528,1272.5,981.5,104.736
2016/06/23,4549,3540,1270,983.5,104.387
2016/06/24,4583,3528,1263.1,966.3,106.149
2016/06/27,4690,3504,1322.4,987.1,102.296
2016/06/28,4651,3456,1324.7,979.2,101.968
2016/06/29,4640,3479,1317.9,978.9,102.753
2016/06/30,4644,3557,1326.9,1011.3,102.826
2016/07/01,4689,3638,1320.6,1021.5,103.187
2016/07/04,4740,3746,1339,1054.7,102.543
2016/07/05,4754,3744,1339,1054.7,102.53
2016/07/06,4745,3751,1358.7,1076.9,101.716
2016/07/07,4756,3775,1367.1,1091.3,101.312
2016/07/08,4721,3758,1362.1,1095.1,100.749
