DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2017/01/04,4690,3768,1162,944.2,117.743
2017/01/05,4689,3793,1165.3,947.2,117.227
2017/01/06,4684,3849,1181.3,976,115.346
2017/01/10,4709,3876,1184.9,982.6,116.009
2017/01/11,4719,3867,1185.5,982.8,115.767
2017/01/12,4720,3841,1196.6,976.4,115.4
2017/01/13,4714,3846,1199.8,984.7,114.704
2017/01/16,4727,3873,1196.2,986.4,114.532
2017/01/17,4718,3852,1196.2,986.4,114.182
2017/01/18,4715,3801,1212.9,983.1,112.61
2017/01/19,4747,3804,1212.1,971.9,114.613
2017/01/20,4758,3804,1201.5,956.4,114.857
2017/01/23,4754,3851,1204.9,976,114.554
2017/01/24,4721,3824,1215.6,979.9,112.702
2017/01/25,4729,3896,1210.8,1007.8,113.791
2017/01/26,4677,3856,1197.8,981.7,113.277
2017/01/27,4682,3855,1189.8,981.7,114.519
2017/01/30,4713,3892,1188.4,983.3,115.081
2017/01/31,4677,3870,1193.2,993.5,113.772
2017/02/01,4700,3864,1208.6,996.5,112.796
2017/02/02,4715,3906,1205.6,999.8,113.22
2017/02/03,4715,3876,1216.7,999.6,112.801
2017/02/06,4733,3888,1218.5,1006.7,112.611
2017/02/07,4747,3904,1232.1,1014.1,111.735
2017/02/08,4756,3883,1236.1,1012.9,112.382
2017/02/09,4771,3903,1239.5,1019.4,111.931
2017/02/10,4773,3934,1236.8,1022.2,113.236
2017/02/13,4814,3935,1235.9,1011.7,113.227
2017/02/14,4790,3885,1225.8,1000.3,113.729
2017/02/15,4821,3910,1225.4,1002.2,114.257
2017/02/16,4835,3944,1233.1,1009.9,114.15
2017/02/17,4819,3924,1241.6,1015.7,113.236
2017/02/20,4794,3871,1239.1,1006,112.9
2017/02/21,4813,3900,1239.1,1006,113.08
2017/02/22,4822,3911,1238.9,1006,113.678
2017/02/23,4817,3905,1233.3,1002.7,113.291
2017/02/24,4838,3918,1251.4,1011.9,112.604
2017/02/27,4837,3959,1258.3,1028.7,112.14
2017/02/28,4850,3980,1258.8,1038.9,112.689
2017/03/01,4843,3973,1253.9,1031,112.758
2017/03/02,4886,3992,1250,1018.9,113.721
2017/03/03,4845,3906,1232.9,989.9,114.409
2017/03/06,4830,3917,1226.5,994.1,114.053
2017/03/07,4801,3845,1225.5,978.2,113.889
2017/03/08,4767,3788,1216.1,961.1,113.98
2017/03/09,4764,3756,1209.4,949.5,114.332
2017/03/10,4756,3723,1203.2,937.2,114.932
2017/03/13,4767,3742,1201.4,938.2,114.76
2017/03/14,4752,3722,1203.1,941.2,114.879
2017/03/15,4737,3714,1202.6,938.9,114.746
2017/03/16,4767,3761,1200.7,936.8,113.371
2017/03/17,4778,3741,1227.1,958.4,113.307
2017/03/21,4773,3768,1234,972.4,112.549
2017/03/22,4786,3747,1246.5,971.4,111.712
2017/03/23,4774,3697,1249.7,961.9,111.161
2017/03/24,4762,3687,1247.2,963.8,110.924
2017/03/27,4764,3699,1248.5,967.9,111.234
2017/03/28,4773,3691,1255.7,969,110.66
