DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2014/01/06,4313,4856,1238.6,1411.5,104.818
2014/01/07,4313,4902,1238,1416.4,104.213
2014/01/08,4300,4914,1229.6,1415.4,104.589
2014/01/09,4291,4923,1225.5,1414.2,104.836
2014/01/10,4309,4938,1229.4,1419.9,104.821
2014/01/14,4330,4956,1251.1,1443.9,102.986
2014/01/15,4334,4944,1245.4,1433.8,104.206
2014/01/16,4346,4968,1238.3,1428.6,104.55
2014/01/17,4335,4960,1240.2,1431.5,104.346
2014/01/20,4381,5051,1251.9,1454.1,104.354
2014/01/21,4373,5079,1251.9,1454.1,104.171
2014/01/22,4334,5047,1241.8,1453.5,104.297
2014/01/23,4322,5058,1238.6,1462.4,104.508
2014/01/24,4360,5015,1262.3,1463.2,103.255
2014/01/27,4367,4900,1264.3,1428.6,102.259
2014/01/28,4325,4857,1263.4,1421.1,102.542
2014/01/29,4335,4853,1250.8,1409.4,102.936
2014/01/30,4339,4822,1262.2,1408.1,102.279
2014/01/31,4282,4754,1242.2,1382.3,102.71
2014/02/03,4266,4701,1240.1,1375.7,102.049
2014/02/04,4271,4674,1259.9,1386.6,100.966
2014/02/05,4271,4664,1251.2,1373.4,101.641
2014/02/06,4284,4685,1256.9,1379.3,101.438
2014/02/07,4301,4678,1257.2,1374.9,102.1
2014/02/10,4350,4713,1262.9,1379.2,102.371
2014/02/12,4410,4730,1289.8,1387.8,102.633
2014/02/13,4426,4794,1295,1407.3,102.523
2014/02/14,4447,4813,1300.1,1416.6,102.163
2014/02/17,4483,4828,1318.6,1430.1,101.806
2014/02/18,4531,4870,1318.6,1430.1,101.899
2014/02/19,4510,4857,1324.4,1424.5,102.352
2014/02/20,4489,4833,1320.4,1424.5,102.304
2014/02/21,4517,4845,1316.9,1412.5,102.262
2014/02/24,4539,4885,1323.6,1427.9,102.533
2014/02/25,4569,4905,1338,1441.4,102.502
2014/02/26,4570,4901,1342.7,1442.6,102.232
2014/02/27,4548,4871,1328,1429.1,102.35
2014/02/28,4534,4926,1331.8,1453.4,102.123
2014/03/03,4551,4916,1321.6,1446.8,101.864
2014/03/04,4583,4914,1350.3,1460.7,101.442
2014/03/05,4571,4961,1337.9,1464.1,102.207
2014/03/06,4582,5034,1340.3,1476.6,102.297
2014/03/07,4648,5087,1351.8,1486.8,103.062
2014/03/10,4612,5075,1338.2,1483.6,103.285
2014/03/11,4630,5075,1341.5,1477.2,103.26
2014/03/12,4641,5022,1346.7,1464.6,103.012
2014/03/13,4699,5027,1370.5,1476.3,102.752
2014/03/14,4686,5011,1372.4,1479.4,101.841
2014/03/17,4708,4973,1379,1469.6,101.363
2014/03/18,4662,4984,1372.9,1468.4,101.768
2014/03/19,4614,4937,1359,1461.7,101.431
2014/03/20,4563,4940,1341.3,1451.7,102.325
2014/03/24,4572,4921,1336,1436,102.191
2014/03/25,4496,4887,1311.2,1431.2,102.24
2014/03/26,4507,4856,1311.4,1420.9,102.254
2014/03/27,4463,4807,1303.4,1406.5,102.006
2014/03/28,4434,4791,1294.7,1397.2,102.176
2014/03/31,4484,4869,1293.8,1404.7,102.869
2014/04/01,4559,5005,1283.8,1420.8,103.222
2014/04/02,4571,5065,1280,1429.6,103.643
2014/04/03,4613,5100,1290.8,1438.7,103.877
2014/04/04,4588,5108,1284.6,1445.5,103.921
2014/04/07,4626,5116,1303.5,1450.9,103.233
2014/04/08,4586,5028,1298.3,1427.8,103.09
2014/04/09,4594,5039,1309.1,1441.7,101.804
2014/04/10,4605,5048,1305.9,1438.9,101.989
2014/04/11,4596,5041,1320.5,1460.1,101.523
2014/04/14,4627,5089,1319,1462.6,101.674
2014/04/15,4641,5103,1327.5,1467.4,101.843
2014/04/16,4575,5042,1300.3,1444.6,101.911
2014/04/17,4578,5032,1303.5,1437.8,102.226
2014/04/18,4560,4967,1293.9,1428.7,102.392
2014/04/21,4592,4979,1293.9,1428.7,102.424
2014/04/22,4554,4944,1288.5,1400.7,102.593
2014/04/23,4536,4944,1281.1,1400.3,102.612
2014/04/24,4529,4941,1284.6,1403.9,102.535
2014/04/25,4551,4961,1290.6,1409.6,102.373
2014/04/28,4584,5004,1300.8,1424.3,102.148
2014/04/30,4570,5020,1296.3,1431.4,102.633
2014/05/01,4546,5001,1295.9,1427.9,102.238
2014/05/02,4517,4994,1283.4,1427.5,102.322
2014/05/07,4579,5070,1308.6,1458.1,101.68
2014/05/08,4526,5020,1288.9,1434.8,101.898
2014/05/09,4506,4994,1287.7,1438.1,101.663
2014/05/12,4504,4986,1287.6,1429.9,101.822
2014/05/13,4558,5033,1295.8,1441.9,102.12
2014/05/14,4556,5091,1294.8,1456,102.252
2014/05/15,4573,5148,1305.9,1485.7,101.89
2014/05/16,4536,5112,1293.6,1469.9,101.575
2014/05/19,4520,5097,1293.4,1466.1,101.549
2014/05/20,4519,5103,1293.8,1470.2,101.491
2014/05/21,4516,5102,1294.6,1468.9,101.327
2014/05/22,4508,5118,1288.1,1474.9,101.361
2014/05/23,4543,5183,1295,1493.1,101.732
2014/05/26,4538,5154,1291.7,1472.8,101.938
2014/05/27,4538,5161,1291.7,1472.8,101.932
2014/05/28,4439,5108,1265.5,1462.3,101.868
2014/05/29,4417,5071,1259.3,1462.7,101.842
2014/05/30,4416,5096,1256.3,1460.1,101.782
2014/06/02,4389,5059,1245.6,1452.7,101.787
2014/06/03,4396,5035,1244,1436.7,102.376
2014/06/04,4405,5026,1244.5,1433.5,102.503
2014/06/05,4406,5045,1244.3,1433.9,102.733
2014/06/06,4426,5054,1253.3,1445.1,102.408
2014/06/09,4427,5093,1252.5,1453,102.535
2014/06/10,4422,5084,1253.9,1454.3,102.522
2014/06/11,4441,5162,1260.1,1482.2,102.348
2014/06/12,4434,5157,1261.2,1481.1,102.068
2014/06/13,4461,5066,1274,1441.3,101.691
2014/06/16,4491,5041,1274.1,1435,102.037
2014/06/17,4467,5034,1275.3,1439.1,101.83
2014/06/18,4474,5043,1272,1443.1,102.14
2014/06/19,4485,5084,1272.7,1450.8,101.917
2014/06/20,4605,5121,1314.1,1474.5,101.937
2014/06/23,4608,5088,1316.6,1457.3,102.076
2014/06/24,4601,5072,1318.4,1456.6,101.926
2014/06/25,4616,5115,1321.3,1471.9,101.965
2014/06/26,4611,5112,1322.6,1473.2,101.861
2014/06/27,4595,5112,1317,1470.1,101.722
2014/06/30,4576,5116,1320,1478.5,101.461
2014/07/01,4614,5147,1322,1482.9,101.324
2014/07/02,4622,5217,1326.6,1515,101.52
2014/07/03,4633,5227,1330.9,1511.5,101.774
2014/07/04,4626,5217,1320.6,1507.7,102.186
2014/07/07,4625,5240,1320.6,1507.7,102.059
2014/07/08,4607,5195,1317,1495.6,101.862
2014/07/09,4601,5204,1316.5,1496.5,101.57
2014/07/10,4635,5245,1324.3,1506.9,101.635
2014/07/11,4654,5246,1339.2,1517,101.337
2014/07/14,4659,5244,1337.4,1513.8,101.329
2014/07/15,4563,5200,1306.7,1493,101.533
2014/07/16,4538,5181,1297.1,1485,101.678
2014/07/17,4549,5180,1299.8,1485.7,101.674
2014/07/18,4597,5218,1316.9,1503.7,101.169
2014/07/22,4581,5183,1313.9,1493.4,101.392
2014/07/23,4568,5182,1306.3,1488.3,101.458
2014/07/24,4559,5162,1304.7,1486.7,101.475
2014/07/25,4526,5146,1290.8,1473.7,101.805
2014/07/28,4570,5164,1303.3,1478.6,101.84
2014/07/29,4569,5193,1303.3,1490.6,101.854
2014/07/30,4566,5188,1298.3,1484.5,102.115
2014/07/31,4582,5218,1294.9,1481.9,102.785
2014/08/01,4536,5160,1281.3,1465.2,102.79
2014/08/04,4561,5157,1293.6,1463.3,102.556
2014/08/05,4549,5161,1288.9,1466.6,102.564
2014/08/06,4554,5136,1285.3,1455.9,102.592
2014/08/07,4596,5142,1308.2,1465.2,102.096
2014/08/08,4605,5177,1312.5,1481.5,102.088
2014/08/11,4600,5166,1311,1478.3,102.079
2014/08/12,4605,5167,1310.5,1471.6,102.187
2014/08/13,4611,5160,1310.6,1472.2,102.23
2014/08/14,4627,5169,1314.5,1469.9,102.41
2014/08/15,4630,5155,1315.7,1469.2,102.45
2014/08/18,4586,5120,1306.2,1457.2,102.34
2014/08/19,4585,5097,1299.3,1446.2,102.565
2014/08/20,4590,5089,1296.7,1439.5,102.911
2014/08/21,4607,5084,1295.2,1429.2,103.754
2014/08/22,4578,5083,1275.4,1419.3,103.845
2014/08/25,4588,5096,1280.2,1418.5,103.877
2014/08/26,4578,5072,1278.9,1418.4,104.053
