DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2014/08/27,4596,5071,1285.2,1419.6,104.057
2014/08/28,4595,5068,1283.4,1419.9,103.874
2014/08/29,4605,5080,1290.4,1425.2,103.717
2014/09/01,4613,5093,1287.4,1424.7,104.077
2014/09/02,4621,5102,1287.4,1424.7,104.344
2014/09/03,4585,5097,1265,1408.9,105.087
2014/09/04,4585,5085,1270.3,1412.5,104.793
2014/09/05,4571,5091,1266.5,1408.3,105.264
2014/09/08,4587,5093,1267.3,1411,105.058
2014/09/09,4584,5096,1254.3,1397.5,106.022
2014/09/10,4581,5062,1248.5,1385.8,106.196
2014/09/11,4590,5074,1245.3,1381,106.839
2014/09/12,4571,5039,1239,1370.7,107.106
2014/09/16,4549,5034,1235.1,1363.5,107.181
2014/09/17,4558,5035,1236.7,1367.3,107.123
2014/09/18,4562,5037,1235.9,1362.2,108.368
2014/09/19,4584,5040,1226.9,1349.5,108.685
2014/09/22,4567,4999,1216.6,1337.3,108.987
2014/09/24,4572,4981,1222,1332.7,108.882
2014/09/25,4568,4940,1219.5,1319.4,109.037
2014/09/26,4571,4914,1221.9,1314.2,108.745
2014/09/29,4584,4890,1215.4,1302,109.284
2014/09/30,4574,4909,1218.8,1307.8,109.49
2014/10/01,4557,4859,1211.6,1298.5,109.647
2014/10/02,4559,4816,1215.5,1287.7,108.887
2014/10/03,4538,4711,1215.1,1269.1,108.414
2014/10/06,4478,4513,1192.9,1226,109.757
2014/10/07,4524,4666,1207.3,1249.2,108.777
2014/10/08,4507,4694,1212.4,1261.9,108.021
2014/10/09,4541,4740,1206,1266.9,108.08
2014/10/10,4540,4681,1225.3,1278.3,107.831
2014/10/14,4551,4683,1230,1261.2,106.827
2014/10/15,4540,4674,1234.3,1272.3,107.05
2014/10/16,4517,4578,1244.8,1260.9,105.91
2014/10/17,4530,4605,1241.2,1251.9,106.332
2014/10/20,4549,4642,1239,1261.5,106.924
2014/10/21,4576,4636,1244.7,1267.5,106.94
2014/10/22,4592,4708,1251.7,1283,106.998
2014/10/23,4579,4654,1245.5,1271.1,107.14
2014/10/24,4579,4668,1229.1,1255,108.266
2014/10/27,4571,4642,1231.8,1250.9,108.142
2014/10/28,4548,4643,1229.3,1254.5,107.814
2014/10/29,4572,4695,1229.4,1266.3,108.151
2014/10/30,4552,4692,1224.9,1269.2,108.887
2014/10/31,4517,4667,1198.6,1245.9,109.206
2014/11/04,4549,4773,1169.8,1242.8,114.038
2014/11/05,4569,4757,1167.7,1224.7,113.593
2014/11/06,4512,4749,1145.7,1210.6,114.642
2014/11/07,4526,4732,1142.6,1197.1,115.208
2014/11/10,4602,4759,1169.8,1212.8,114.602
2014/11/11,4570,4733,1159.8,1206.9,114.856
2014/11/12,4625,4770,1163,1206.7,115.77
2014/11/13,4608,4748,1159.1,1205.3,115.483
2014/11/14,4626,4749,1161.5,1199,115.763
2014/11/17,4737,4806,1185.6,1213.1,116.295
2014/11/18,4748,4801,1183.5,1201.3,116.639
2014/11/19,4803,4822,1197.1,1204.6,116.852
2014/11/20,4802,4821,1193.9,1199.3,117.966
2014/11/21,4836,4886,1190.9,1205.6,118.214
2014/11/25,4862,4909,1195.7,1207.5,118.262
2014/11/26,4858,4916,1197.1,1224.5,117.971
2014/11/27,4842,4940,1196.6,1228.4,117.727
2014/11/28,4821,4900,1196.6,1228.4,117.686
2014/12/01,4706,4841,1175.2,1211.3,118.68
2014/12/02,4892,4956,1218.1,1241.6,118.393
2014/12/03,4895,4970,1199.4,1217.5,119.205
2014/12/04,4968,5037,1208.7,1227.5,119.789
2014/12/05,4951,5070,1207.7,1245.9,119.778
2014/12/08,4967,5094,1190.4,1219.5,121.397
2014/12/09,4985,5085,1194.9,1229.4,120.684
2014/12/10,5039,5092,1232,1246.8,119.691
2014/12/11,4968,5011,1229.4,1242.6,117.813
2014/12/12,5007,5054,1225.6,1242.2,118.638
2014/12/15,4962,4979,1222.5,1231.5,118.751
2014/12/16,4845,4893,1207.7,1214.9,117.807
2014/12/17,4826,4840,1194.3,1196.5,116.401
2014/12/18,4870,4893,1194.5,1199.5,118.642
2014/12/19,4904,4897,1194.8,1197.1,118.827
2014/12/22,4913,4900,1196,1197,119.474
2014/12/24,4890,4922,1178,1191.7,120.684
2014/12/25,4869,4914,1173.5,1191.1,120.486
2014/12/26,4880,4938,1173.5,1191.1,120.146
2014/12/29,4944,5010,1195.3,1218.5,120.388
2014/12/30,4908,4978,1181.9,1201.7,120.66
