DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2015/01/05,4907,4970,1186.2,1203,120.492
2015/01/06,4947,4965,1204,1210.9,119.632
2015/01/07,4968,4966,1219.4,1221.4,118.382
2015/01/08,4979,5002,1210.7,1220.9,119.251
2015/01/09,4987,5017,1208.5,1223,119.666
2015/01/13,5013,5029,1232.8,1241,118.332
2015/01/14,4995,5026,1234.4,1247.8,117.923
2015/01/15,4976,4985,1234.5,1239,117.322
2015/01/16,5039,5007,1264.8,1262.8,116.155
2015/01/19,5164,5102,1276.9,1269.4,117.522
2015/01/20,5161,5089,1276.9,1269.4,117.56
2015/01/21,5259,5179,1294.2,1286.6,118.798
2015/01/22,5232,5149,1293.7,1276.4,117.957
2015/01/23,5298,5193,1300.7,1284.8,118.485
2015/01/26,5237,5136,1292.6,1268.7,117.804
2015/01/27,5202,5074,1279.4,1255,118.453
2015/01/28,5236,5106,1291.7,1264.3,117.867
2015/01/29,5194,5060,1285.9,1258.5,117.519
2015/01/30,5126,4976,1254.6,1217.3,118.282
2015/02/02,5168,4983,1278.5,1238.2,117.478
2015/02/03,5147,4956,1276.9,1228.6,117.583
2015/02/04,5105,4977,1260.3,1235.2,117.562
2015/02/05,5136,5000,1264.5,1238.9,117.257
2015/02/06,5114,5037,1262.7,1249.7,117.507
2015/02/09,5058,4993,1234.6,1221.6,119.023
2015/02/10,5061,4962,1241.5,1220.4,118.631
2015/02/12,5055,4949,1219.6,1195.6,120.445
2015/02/13,5017,4925,1220.7,1200.5,119.105
2015/02/16,5029,4949,1227.1,1207.5,118.715
2015/02/17,5020,4914,1227.1,1207.5,118.474
2015/02/18,4966,4846,1208.6,1177,119.238
2015/02/19,4965,4812,1200.2,1167.2,118.783
2015/02/20,4961,4812,1207.6,1172.3,118.937
2015/02/23,4943,4791,1204.9,1169.5,119.074
2015/02/24,4934,4778,1200.8,1162.9,118.808
2015/02/25,4938,4799,1197.3,1162.6,118.963
2015/02/26,4937,4803,1201.5,1168.8,118.855
2015/02/27,4976,4843,1210.1,1173.6,119.411
2015/03/02,5018,4891,1213.1,1185.6,119.644
2015/03/03,4997,4903,1208.2,1189.9,120.124
