Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
domestic_infect[136]  15.38    0.13   8.21   3.13   9.52   14.2  19.93  35.03   4081    1.0
domestic_infect[137]  26.08    0.22  12.99   6.04  16.11  24.64  34.25  55.22   3644    1.0
domestic_infect[138]  32.54    0.28  17.05   6.17  19.75  30.08  43.26  70.24   3621    1.0
imported_infect[1]     0.26  3.2e-3   0.21   0.03   0.11    0.2   0.34    0.8   4064    1.0
imported_infect[2]     0.33  3.6e-3   0.22   0.05   0.16   0.28   0.45   0.89   3781    1.0
imported_infect[3]     0.39  3.9e-3   0.25   0.07    0.2   0.35   0.54   0.98   3891    1.0
imported_infect[4]     0.44  4.1e-3   0.26   0.08   0.24    0.4   0.61   1.05   4093    1.0
imported_infect[5]     0.47  4.8e-3   0.28   0.08   0.25   0.42   0.64   1.12   3332    1.0
imported_infect[6]     0.49  4.5e-3   0.29   0.08   0.27   0.45   0.66   1.16   4077    1.0
imported_infect[7]      0.5  4.8e-3   0.29   0.09   0.27   0.45   0.67   1.19   3688    1.0
imported_infect[8]     0.48  4.6e-3   0.29   0.08   0.26   0.43   0.66   1.14   3955    1.0
imported_infect[9]     0.47  4.6e-3   0.28   0.08   0.25   0.42   0.63   1.12   3772    1.0
imported_infect[10]    0.47  4.5e-3   0.28   0.08   0.25   0.42   0.63   1.13   3900    1.0
imported_infect[11]    0.47  4.8e-3   0.28   0.08   0.26   0.42   0.64   1.15   3560    1.0
imported_infect[12]    0.48  4.6e-3   0.29   0.09   0.26   0.44   0.65   1.15   3871    1.0
imported_infect[13]     0.5  4.7e-3   0.29   0.08   0.27   0.45   0.68   1.16   3823    1.0
imported_infect[14]     0.5  4.7e-3   0.29   0.09   0.28   0.45   0.67   1.18   3830    1.0
imported_infect[15]    0.52  4.8e-3   0.29   0.09   0.29   0.48    0.7   1.18   3801    1.0
imported_infect[16]    0.53  4.9e-3    0.3    0.1    0.3   0.49   0.72   1.23   3810    1.0
imported_infect[17]    0.55  4.9e-3   0.31   0.09   0.31    0.5   0.74   1.25   4024    1.0
imported_infect[18]    0.57  5.0e-3   0.32    0.1   0.32   0.53   0.77    1.3   4051    1.0
imported_infect[19]    0.57  5.2e-3   0.32    0.1   0.32   0.52   0.76    1.3   3854    1.0
imported_infect[20]    0.58  5.5e-3   0.33   0.11   0.33   0.53   0.77   1.32   3614    1.0
imported_infect[21]     0.6  5.6e-3   0.34    0.1   0.34   0.55   0.82   1.37   3664    1.0
imported_infect[22]    0.66  6.0e-3   0.36   0.11   0.39   0.62   0.88   1.45   3508    1.0
imported_infect[23]    0.73  6.5e-3   0.37   0.14   0.44   0.69   0.97   1.56   3347    1.0
imported_infect[24]     0.8  6.6e-3   0.38   0.16   0.52   0.78   1.05   1.64   3355    1.0
imported_infect[25]    0.86  6.5e-3    0.4   0.18   0.56   0.82   1.12    1.7   3761    1.0
imported_infect[26]    0.87  6.6e-3    0.4   0.18   0.58   0.85   1.12   1.75   3604    1.0
imported_infect[27]    0.85  6.8e-3    0.4   0.17   0.55   0.81   1.11   1.71   3541    1.0
imported_infect[28]    0.79  6.3e-3   0.39   0.15    0.5   0.75   1.03   1.63   3770    1.0
imported_infect[29]    0.71  6.0e-3   0.37   0.13   0.43   0.67   0.95   1.55   3889    1.0
imported_infect[30]    0.67  6.0e-3   0.36   0.12   0.39   0.62    0.9   1.48   3748    1.0
imported_infect[31]    0.64  6.2e-3   0.35   0.11   0.37    0.6   0.86   1.44   3281    1.0
imported_infect[32]    0.64  6.0e-3   0.36   0.11   0.36   0.58   0.86   1.47   3699    1.0
imported_infect[33]    0.66  5.7e-3   0.36   0.12   0.39   0.61   0.88   1.48   4008    1.0
imported_infect[34]    0.69  6.0e-3   0.37   0.13   0.41   0.65   0.92   1.54   3707    1.0
imported_infect[35]    0.72  6.1e-3   0.38   0.14   0.43   0.68   0.96   1.54   3779    1.0
imported_infect[36]    0.76  6.3e-3   0.39   0.14   0.45   0.71    1.0   1.61   3888    1.0
imported_infect[37]    0.82  6.5e-3    0.4   0.17   0.53   0.78   1.06    1.7   3892    1.0
imported_infect[38]    0.87  6.8e-3   0.41   0.19   0.57   0.83   1.14   1.76   3699    1.0
imported_infect[39]     0.9  6.9e-3   0.41   0.21    0.6   0.87   1.17   1.78   3562    1.0
imported_infect[40]    0.91  7.5e-3   0.42   0.21   0.61   0.89   1.19    1.8   3078    1.0
imported_infect[41]    0.89  6.7e-3   0.41    0.2   0.59   0.85   1.15   1.75   3729    1.0
imported_infect[42]    0.84  6.8e-3   0.41   0.18   0.54    0.8   1.09   1.75   3644    1.0
imported_infect[43]    0.79  7.1e-3   0.41   0.15   0.48   0.75   1.04   1.72   3336    1.0
imported_infect[44]    0.75  6.3e-3   0.39   0.16   0.46    0.7    1.0   1.62   3805    1.0
imported_infect[45]    0.76  6.4e-3   0.39   0.15   0.45   0.72   1.01   1.61   3726    1.0
imported_infect[46]    0.79  6.4e-3    0.4   0.16   0.48   0.75   1.04   1.66   3829    1.0
imported_infect[47]    0.82  6.4e-3    0.4   0.17   0.51   0.77   1.08    1.7   3883    1.0
imported_infect[48]    0.83  6.6e-3   0.41   0.18   0.52   0.79   1.09   1.74   3809    1.0
imported_infect[49]    0.85  6.8e-3   0.42   0.18   0.53   0.81   1.12   1.77   3809    1.0
imported_infect[50]    0.89  7.2e-3   0.43    0.2   0.56   0.86   1.17   1.87   3614    1.0
imported_infect[51]    0.95  7.5e-3   0.45   0.21   0.62   0.91   1.24   1.95   3604    1.0
imported_infect[52]    1.03  7.9e-3   0.47   0.25   0.68    1.0   1.34   2.02   3611    1.0
imported_infect[53]    1.15  8.6e-3    0.5   0.28   0.79   1.12   1.47   2.22   3393    1.0
imported_infect[54]     1.3  9.2e-3   0.54   0.34   0.92   1.27   1.66   2.43   3426    1.0
imported_infect[55]    1.51  9.6e-3   0.56   0.51   1.12   1.49   1.89   2.64   3357    1.0
imported_infect[56]    1.76  9.4e-3   0.57   0.69   1.36   1.75   2.14   2.94   3680    1.0
imported_infect[57]    2.04  9.7e-3   0.58   0.93   1.64   2.03   2.43   3.22   3582    1.0
imported_infect[58]    2.32    0.01   0.61   1.13    1.9   2.32   2.73   3.57   3406    1.0
imported_infect[59]    2.61    0.01   0.62   1.39   2.19    2.6   3.01   3.85   3485    1.0
imported_infect[60]    2.93    0.01   0.64   1.65   2.51   2.92   3.34   4.21   3339    1.0
imported_infect[61]    3.24    0.01   0.64   1.98   2.82   3.24   3.67   4.54   3765    1.0
imported_infect[62]    3.56    0.01   0.65   2.25   3.14   3.56   3.99   4.84   3735    1.0
imported_infect[63]    3.91    0.01   0.66    2.6   3.47   3.91   4.36    5.2   3476    1.0
imported_infect[64]    4.29    0.01   0.66   2.97   3.85    4.3   4.73   5.57   3472    1.0
imported_infect[65]    4.69    0.01   0.66   3.42   4.24   4.67   5.14   6.02   3452    1.0
imported_infect[66]    5.04    0.01   0.67   3.75   4.59   5.03   5.48   6.36   3217    1.0
imported_infect[67]    5.38    0.01   0.68   4.04   4.91   5.38   5.83   6.71   3189    1.0
imported_infect[68]    5.71    0.01    0.7   4.27   5.25   5.71    6.2   7.12   3347    1.0
imported_infect[69]    6.07    0.01   0.71   4.65   5.59   6.08   6.54   7.49   3268    1.0
imported_infect[70]    6.46    0.01   0.72   5.09   5.95   6.46   6.95   7.87   3454    1.0
imported_infect[71]    6.87    0.01   0.71   5.48   6.39   6.87   7.33   8.29   3534    1.0
imported_infect[72]     7.3    0.01   0.71   5.94   6.81   7.29   7.77   8.72   3085    1.0
imported_infect[73]    7.77    0.01   0.71   6.38   7.29   7.78   8.24   9.14   3626    1.0
imported_infect[74]    8.25    0.01   0.71   6.85   7.77   8.25   8.74    9.6   3496    1.0
imported_infect[75]    8.72    0.01   0.71   7.32   8.24   8.72   9.19   10.1   3410    1.0
imported_infect[76]     9.2    0.01   0.71    7.8   8.72    9.2   9.68   10.6   3411    1.0
imported_infect[77]    9.66    0.01    0.7    8.3   9.17   9.66  10.13  11.03   3551    1.0
imported_infect[78]   10.08    0.01    0.7    8.7   9.59  10.07  10.54  11.49   3403    1.0
imported_infect[79]   10.38    0.01    0.7   9.07    9.9  10.37  10.86  11.79   3419    1.0
imported_infect[80]   10.58    0.01    0.7   9.25   10.1  10.56  11.03  11.97   3417    1.0
imported_infect[81]   10.61    0.01   0.71   9.24  10.13  10.61  11.08  12.03   3163    1.0
imported_infect[82]   10.51    0.01    0.7   9.12  10.04  10.51  10.98  11.94   3477    1.0
imported_infect[83]    10.3    0.01   0.72   8.91   9.81  10.31  10.79  11.66   3644    1.0
imported_infect[84]    10.0    0.01   0.71   8.61   9.51   9.99  10.48  11.39   3424    1.0
imported_infect[85]    9.62    0.01   0.71   8.23   9.14   9.62   10.1  11.01   3567    1.0
imported_infect[86]    9.14    0.01   0.71   7.82   8.65   9.14   9.61   10.6   3682    1.0
imported_infect[87]     8.6    0.01   0.71   7.22   8.12    8.6   9.07  10.02   3600    1.0
imported_infect[88]    8.01    0.01    0.7   6.67   7.53   8.02   8.49   9.38   3589    1.0
imported_infect[89]    7.37    0.01   0.71   5.99   6.89   7.36   7.85   8.77   3696    1.0
imported_infect[90]    6.69    0.01   0.71   5.31    6.2   6.69   7.18   8.09   3651    1.0
imported_infect[91]    6.01    0.01   0.71   4.61   5.53   6.02   6.48   7.35   3487    1.0
imported_infect[92]    5.34    0.01   0.71   3.96   4.86   5.34   5.81   6.71   3156    1.0
imported_infect[93]    4.68    0.01    0.7   3.32   4.19   4.68   5.15   6.04   3421    1.0
imported_infect[94]    4.06    0.01   0.71   2.66   3.56   4.05   4.55   5.47   3173    1.0
imported_infect[95]     3.5    0.01    0.7   2.15   3.02    3.5   3.96   4.88   2998    1.0
imported_infect[96]    2.99    0.01   0.69   1.63   2.53   2.99   3.45   4.35   2872    1.0
imported_infect[97]    2.54    0.01   0.68   1.22   2.08   2.54    3.0   3.93   2801    1.0
imported_infect[98]    2.15    0.01   0.66   0.88   1.69   2.15   2.59   3.47   2846    1.0
imported_infect[99]    1.84    0.01   0.63   0.65   1.41   1.83   2.27   3.07   2662    1.0
imported_infect[100]   1.62    0.01   0.58   0.57   1.21   1.59    2.0   2.79   3007    1.0
imported_infect[101]   1.45    0.01   0.55   0.46   1.06   1.42   1.82   2.61   2970    1.0
imported_infect[102]   1.29  9.8e-3   0.52   0.38   0.93   1.25   1.62    2.4   2784    1.0
imported_infect[103]   1.17  9.0e-3   0.49   0.31   0.81   1.13    1.5   2.18   2966    1.0
imported_infect[104]   1.03  8.2e-3   0.47   0.26   0.67   0.99   1.34   2.05   3238    1.0
imported_infect[105]   0.92  7.1e-3   0.43   0.23    0.6   0.87   1.19   1.87   3642    1.0
imported_infect[106]   0.82  6.8e-3   0.41   0.19   0.52   0.78   1.08   1.71   3569    1.0
imported_infect[107]   0.75  6.3e-3   0.38   0.17   0.46    0.7   0.99   1.59   3665    1.0
imported_infect[108]   0.69  6.5e-3   0.36   0.15   0.41   0.64   0.92    1.5   3065    1.0
imported_infect[109]   0.65  5.6e-3   0.34   0.15   0.39    0.6   0.86   1.41   3643    1.0
imported_infect[110]   0.62  5.4e-3   0.33   0.14   0.36   0.57   0.81   1.35   3690    1.0
imported_infect[111]   0.61  5.2e-3   0.33   0.13   0.36   0.57   0.81   1.33   3944    1.0
imported_infect[112]    0.6  5.2e-3   0.33   0.12   0.36   0.56    0.8   1.34   3922    1.0
imported_infect[113]   0.59  5.3e-3   0.32   0.12   0.34   0.55   0.79   1.32   3677    1.0
imported_infect[114]   0.59  5.2e-3   0.32   0.13   0.34   0.54   0.79   1.35   3949    1.0
imported_infect[115]   0.59  5.2e-3   0.33   0.12   0.34   0.54   0.79   1.33   3955    1.0
imported_infect[116]    0.6  5.1e-3   0.32   0.13   0.35   0.55   0.79   1.34   3917    1.0
imported_infect[117]   0.59  5.1e-3   0.32   0.12   0.34   0.54   0.79   1.32   3826    1.0
imported_infect[118]   0.59  5.5e-3   0.32   0.13   0.34   0.54   0.78   1.33   3468    1.0
imported_infect[119]    0.6  5.4e-3   0.33   0.11   0.35   0.55    0.8   1.37   3661    1.0
imported_infect[120]    0.6  5.3e-3   0.32   0.12   0.35   0.55   0.79   1.33   3656    1.0
imported_infect[121]    0.6  5.5e-3   0.32   0.12   0.35   0.56    0.8   1.34   3473    1.0
imported_infect[122]    0.6  5.4e-3   0.32   0.13   0.35   0.55    0.8   1.34   3660    1.0
imported_infect[123]    0.6  5.4e-3   0.32   0.13   0.35   0.55    0.8   1.34   3566    1.0
imported_infect[124]    0.6  5.3e-3   0.33   0.13   0.35   0.55    0.8   1.34   3810    1.0
imported_infect[125]    0.6  5.2e-3   0.32   0.13   0.35   0.55   0.79   1.33   3805    1.0
imported_infect[126]   0.61  5.4e-3   0.33   0.13   0.35   0.57   0.81   1.37   3749    1.0
imported_infect[127]   0.62  5.3e-3   0.32   0.13   0.36   0.57   0.82   1.36   3692    1.0
imported_infect[128]   0.62  5.5e-3   0.33   0.14   0.37   0.57   0.84   1.38   3669    1.0
imported_infect[129]   0.64  5.9e-3   0.34   0.14   0.39   0.59   0.84   1.41   3302    1.0
imported_infect[130]   0.66  5.6e-3   0.35   0.15    0.4   0.61   0.88   1.44   3763    1.0
imported_infect[131]    0.7  6.2e-3   0.37   0.15   0.42   0.64   0.93   1.55   3493    1.0
imported_infect[132]   0.75  7.0e-3   0.39   0.16   0.46   0.71    1.0   1.64   3201    1.0
imported_infect[133]   0.84  7.7e-3   0.44   0.17    0.5   0.78    1.1   1.85   3283    1.0
imported_infect[134]   0.95  8.9e-3   0.49    0.2   0.58   0.89   1.24   2.09   3064    1.0
imported_infect[135]   1.08    0.01   0.54   0.22   0.69   1.03   1.41   2.32   2854    1.0
imported_infect[136]   1.22    0.01    0.6   0.28   0.77   1.15   1.59   2.58   2671    1.0
imported_infect[137]   1.32    0.01   0.67   0.29   0.82   1.23   1.73   2.82   2783    1.0
imported_infect[138]   1.38    0.01   0.74   0.25   0.79   1.28   1.87   2.99   3068    1.0
cases_infect[1]        0.64  7.2e-3   0.46   0.11   0.32   0.53   0.83    1.8   4056    1.0
cases_infect[2]        1.03    0.01   0.67   0.23   0.57   0.88   1.31   2.75   4006    1.0
cases_infect[3]        1.28    0.01   0.74   0.32   0.76   1.11   1.63   3.18   3521    1.0
cases_infect[4]        1.44    0.01   0.79   0.38   0.88   1.28   1.85   3.39   4064    1.0
cases_infect[5]        1.57    0.01   0.87   0.41   0.96   1.39   1.98    3.7   4055    1.0
cases_infect[6]        1.65    0.01    0.9   0.45    1.0   1.47   2.09   3.84   4050    1.0
cases_infect[7]         1.7    0.01   0.91   0.46   1.04   1.51   2.16   3.95   3785    1.0
cases_infect[8]         1.7    0.01   0.92   0.44   1.03   1.53   2.19   3.87   4016    1.0
cases_infect[9]        1.71    0.02   0.95   0.43   1.01   1.52   2.18   4.03   4009    1.0
cases_infect[10]       1.73    0.01   0.93   0.45   1.05   1.54   2.25   3.99   3986    1.0
cases_infect[11]       1.73    0.01   0.96   0.44   1.05   1.53   2.22   4.11   4166    1.0
cases_infect[12]       1.79    0.02   0.98   0.48   1.08    1.6   2.27   4.23   3756    1.0
cases_infect[13]       1.82    0.02   1.01   0.49   1.11    1.6    2.3   4.44   4046    1.0
cases_infect[14]       1.85    0.02   1.03   0.46    1.1   1.65   2.36   4.39   3950    1.0
cases_infect[15]       1.93    0.02   1.07   0.52   1.15   1.72   2.49   4.53   3785    1.0
cases_infect[16]       1.98    0.02   1.06   0.52   1.22   1.76   2.51   4.64   3782    1.0
cases_infect[17]       2.05    0.02   1.12   0.53   1.24   1.81   2.64   4.82   3650    1.0
cases_infect[18]       2.14    0.02   1.18   0.57   1.29   1.86   2.77   5.08   3949    1.0
cases_infect[19]       2.13    0.02   1.17   0.56   1.28   1.88   2.73    5.1   3872    1.0
cases_infect[20]       2.13    0.02   1.17   0.56   1.27   1.89   2.74   5.01   4244    1.0
cases_infect[21]       2.31    0.02   1.25    0.6    1.4    2.1   2.96   5.38   3910    1.0
cases_infect[22]       2.57    0.02   1.42   0.65   1.57   2.31   3.26   5.97   4096    1.0
cases_infect[23]       2.89    0.03   1.59   0.78   1.71   2.58   3.72   6.74   3370    1.0
cases_infect[24]       3.14    0.03   1.67   0.87   1.92   2.79   4.01   7.25   4239    1.0
cases_infect[25]       3.07    0.03   1.62   0.91   1.89   2.73   3.89   7.09   4092    1.0
cases_infect[26]       2.94    0.02   1.51   0.88   1.84   2.61   3.72   6.61   3940    1.0
cases_infect[27]       2.96    0.02   1.55   0.85   1.85   2.65   3.73   6.74   3952    1.0
cases_infect[28]       2.82    0.02    1.5   0.81   1.72   2.53   3.58   6.61   3971    1.0
cases_infect[29]       2.67    0.02   1.47   0.74   1.63   2.38   3.37   6.34   4008    1.0
cases_infect[30]       2.68    0.02   1.45   0.72   1.61   2.41   3.42   6.17   3650    1.0
cases_infect[31]       2.78    0.03   1.59   0.72   1.64   2.44   3.56   6.77   3718    1.0
cases_infect[32]       3.02    0.03    1.7   0.75   1.79   2.67   3.84   7.26   3849    1.0
cases_infect[33]       3.32    0.03   1.99   0.79   1.89   2.85   4.33   8.24   4357    1.0
cases_infect[34]       3.98    0.04   2.39   0.96   2.21   3.46   5.12   9.87   4235    1.0
cases_infect[35]       5.07    0.05   3.08   1.14    2.8   4.38   6.64  12.85   4229    1.0
cases_infect[36]       7.29    0.07   4.24   1.46   4.04   6.48   9.72  17.33   3736    1.0
cases_infect[37]       9.17    0.09   4.96   1.92   5.21   8.51   12.3  20.22   3283    1.0
cases_infect[38]       8.61    0.07   4.82   1.83   4.86   7.76  11.65  20.14   4139    1.0
cases_infect[39]       6.08    0.06    3.5   1.45   3.47   5.38   8.02  14.67   3683    1.0
cases_infect[40]       5.12    0.05   2.84   1.29   3.07   4.53   6.64  12.16   3841    1.0
cases_infect[41]        5.2    0.04    2.8   1.26   3.14   4.69   6.71   12.2   4003    1.0
cases_infect[42]       5.43    0.05   3.06   1.43   3.16   4.85   6.96  13.12   3950    1.0
cases_infect[43]       5.69    0.05   3.13   1.42   3.36   5.09   7.41  13.43   4091    1.0
cases_infect[44]       6.72    0.06   3.81   1.54   3.88   5.98   8.72   16.1   3991    1.0
cases_infect[45]       7.97    0.07    4.5   1.75   4.59   7.17  10.49  18.87   3987    1.0
cases_infect[46]       8.94    0.08   5.06   1.86   5.07   8.04  11.76   20.8   3863    1.0
cases_infect[47]       9.63    0.09   5.52   1.97   5.41   8.75  12.85  22.56   3968    1.0
cases_infect[48]       13.3    0.11   6.93   2.58   8.07  12.51  17.45  28.83   3666    1.0
cases_infect[49]       14.9    0.12   7.37   3.26   9.16  14.21  19.79  30.71   3580    1.0
cases_infect[50]      15.85    0.13   8.09   3.03   9.63  15.14  21.32  33.55   3884    1.0
cases_infect[51]      17.22    0.14   8.38   3.69  10.75  16.59  22.73  35.05   3519    1.0
cases_infect[52]      19.76    0.14   9.03   4.08  12.95  19.41  25.77  38.44   3980    1.0
cases_infect[53]      21.85    0.16   9.39   5.03  15.02  21.55  28.14  41.11   3450    1.0
cases_infect[54]      24.13    0.15    9.8   6.27  17.09  23.89  30.86  44.01   4080    1.0
cases_infect[55]      25.06    0.17  10.02   6.38  17.88  24.79  32.11   45.1   3539    1.0
cases_infect[56]      27.03    0.18  10.58   7.59  19.61  26.86   34.2  47.97   3521    1.0
cases_infect[57]      32.75    0.18  10.84  11.52  25.46  32.67  39.97  53.73   3826    1.0
cases_infect[58]      40.99    0.18  10.96  19.46  33.63  41.07   48.3  62.43   3601    1.0
cases_infect[59]       45.2    0.18  11.05  23.99  37.84  45.14  52.57  66.99   3971    1.0
cases_infect[60]      41.34    0.18  11.39  19.22  33.72   41.3  48.98   64.0   3917    1.0
cases_infect[61]      33.82    0.19  11.29  11.83  26.11  33.57  41.59  56.36   3672    1.0
cases_infect[62]      30.66    0.17  10.74  11.29  22.86  30.52  37.82  52.69   3782    1.0
cases_infect[63]      32.93    0.18  10.89  12.28  25.31  32.87  40.12  54.51   3854    1.0
cases_infect[64]       35.5    0.18  11.23  14.29  27.62  35.22  43.14  57.67   3838    1.0
cases_infect[65]      37.53    0.19  11.26  15.88  29.83  37.55  44.96  60.65   3474    1.0
cases_infect[66]       40.5    0.19  11.32  18.39   32.7  40.38  48.03  63.22   3546    1.0
cases_infect[67]      41.12    0.19  11.44  19.37  33.12  40.99  48.87  64.64   3679    1.0
cases_infect[68]      40.99    0.19  11.41  18.73  33.43  40.89  48.78  64.09   3530    1.0
cases_infect[69]      43.33    0.19  11.75  20.34  35.33  43.59  51.08  66.13   3817    1.0
cases_infect[70]      45.44     0.2  11.69  22.95  37.47  45.42  53.25  68.65   3401    1.0
cases_infect[71]      46.42     0.2  11.84  22.62  38.64   46.5  54.27  70.03   3375    1.0
cases_infect[72]      45.24    0.19  11.62  22.68  37.46  45.12  53.16   67.9   3740    1.0
cases_infect[73]      44.47    0.18  11.44   21.8  36.51  44.66   52.1  66.61   3952    1.0
cases_infect[74]       45.0     0.2  11.54  21.85  37.44  45.03  52.55   67.0   3183    1.0
cases_infect[75]      45.42     0.2  11.76  23.16  37.14  45.53  53.38  68.43   3571    1.0
cases_infect[76]      44.48    0.18  11.53  22.99  36.48  44.44  52.48   67.5   4186    1.0
cases_infect[77]      42.59    0.19  11.51  20.08   35.0  42.64  50.26  65.54   3642    1.0
cases_infect[78]      41.84     0.2  11.53  20.03   33.6  41.71  49.79  64.71   3244    1.0
cases_infect[79]      47.17    0.19  11.92  24.22  39.01  47.31  55.12  70.95   3751    1.0
cases_infect[80]      64.14     0.2  12.47  39.26  55.58  64.36  72.68  88.42   4017    1.0
cases_infect[81]      91.44    0.21  13.04   65.1  82.83  91.55 100.29 116.76   3843    1.0
cases_infect[82]     120.55    0.22  13.22  94.76 111.38  120.7 129.19 146.11   3596    1.0
cases_infect[83]     146.06    0.21  13.46  119.5 137.14 146.15 155.29  172.2   3942    1.0
cases_infect[84]      169.5    0.25  14.41 139.56 160.53 169.94 178.68 197.61   3361    1.0
cases_infect[85]     196.71    0.24  14.78 167.69 186.71 196.78 207.04 225.09   3918    1.0
cases_infect[86]     232.89    0.24  14.51 204.71 223.13 232.75 242.31 261.61   3768    1.0
cases_infect[87]     274.96    0.25  15.59 244.19 264.64 274.76 285.68 305.15   3946    1.0
cases_infect[88]     318.49    0.25  15.78 287.35 307.76 318.34 328.94 349.86   3870    1.0
cases_infect[89]     367.94    0.25  15.94 336.88  357.2 367.98 378.83 399.44   4181    1.0
cases_infect[90]     424.07    0.27  16.09 392.72 413.11 423.97 435.01 455.07   3660    1.0
cases_infect[91]     479.14    0.26  16.41 447.18 468.13 479.35 490.48 510.73   3956    1.0
cases_infect[92]      526.2    0.26  16.43 494.43 515.21 526.26 537.48 558.62   4014    1.0
cases_infect[93]     563.78    0.26  16.71 531.17  552.8 563.94  574.7 597.37   4052    1.0
cases_infect[94]     590.76    0.27  16.73 558.27 579.27 590.44 602.33 623.53   3746    1.0
cases_infect[95]     603.13    0.28  17.22  569.3 591.66 603.05 614.85 637.72   3791    1.0
cases_infect[96]     599.73    0.26  16.93 567.08 588.25 599.71 611.19 633.52   4102    1.0
cases_infect[97]     586.12    0.27  16.57 554.11 575.13 586.13 597.25 618.67   3859    1.0
cases_infect[98]     565.05    0.28  16.74  532.4 553.87 564.95 576.17 598.19   3698    1.0
cases_infect[99]     541.01    0.28  17.11 507.27 529.85 541.23 552.35 574.99   3857    1.0
cases_infect[100]    515.69    0.27  16.82 482.04 504.58  515.6 527.07 549.15   3855    1.0
cases_infect[101]    491.79    0.26  16.57 459.03  480.7 491.81 502.84 524.05   3964    1.0
cases_infect[102]    467.86    0.27  17.05 434.55 456.07 467.86 479.39  500.2   3932    1.0
cases_infect[103]    443.05    0.27  16.76  410.9 431.66 443.04 454.33 476.27   3975    1.0
cases_infect[104]    420.26    0.27  16.55 388.26 408.88 420.26 431.67 453.69   3758    1.0
cases_infect[105]    399.34    0.27   16.4 367.43 388.23 399.23 410.56 431.03   3690    1.0
cases_infect[106]    377.93    0.26  16.21 345.91 367.05 377.94 388.65  410.0   4015    1.0
cases_infect[107]    354.69    0.26  16.21 322.89 343.75 355.23 365.59 385.93   3966    1.0
cases_infect[108]    330.81    0.26  16.29 298.24 320.15 330.71 342.07  362.4   4020    1.0
cases_infect[109]    304.81    0.25  16.09 272.92 294.16 304.52 315.77 336.03   4167    1.0
cases_infect[110]    277.01    0.24  15.49  247.0 266.59 277.07 287.72 306.84   4116    1.0
cases_infect[111]    250.18    0.25  15.65 219.41 239.61 250.34 260.68 280.64   3965    1.0
cases_infect[112]    228.13    0.25  15.62 197.08 217.85 228.13 238.53 258.87   3920    1.0
cases_infect[113]    209.29    0.24  15.31 178.97 199.26 209.42 219.42  238.4   4018    1.0
cases_infect[114]    192.56    0.25  15.12 162.81 182.28 192.63 202.66 222.04   3759    1.0
cases_infect[115]     176.6    0.24  15.06 146.49 166.58 176.59 186.81 206.39   3989    1.0
cases_infect[116]    159.29    0.24   14.8 129.88 149.39 159.25  169.3 189.24   3865    1.0
cases_infect[117]    142.45    0.24  14.75 113.59  132.6 142.27 152.18 171.11   3714    1.0
cases_infect[118]    130.37    0.24  14.86 101.33 120.07 130.46 140.18 159.62   3912    1.0
cases_infect[119]    121.82    0.24  14.63  92.58 111.97 121.97 131.63 150.24   3764    1.0
cases_infect[120]    113.14    0.22  14.16  85.94 103.64 113.26 122.64 140.49   4049    1.0
cases_infect[121]    102.17    0.22   14.0  74.47  92.86 102.15  111.4 129.84   3925    1.0
cases_infect[122]     89.05    0.23  13.82  62.14  79.66  89.22  98.46 116.53   3733    1.0
cases_infect[123]     73.18    0.22  13.33  46.83   64.2  73.22  82.14  98.87   3815    1.0
cases_infect[124]     56.11    0.21  12.69  31.61  47.64  55.72   64.7   81.5   3628    1.0
cases_infect[125]     40.38    0.19  11.81  17.45  32.52   40.3  48.18  63.28   4022    1.0
cases_infect[126]     24.52    0.17  10.56   5.93  16.75  23.86  31.76  46.07   3840    1.0
cases_infect[127]     13.27    0.12   7.36   2.74   7.59   12.1  17.74  30.69   3869    1.0
cases_infect[128]      8.95    0.08   5.04   1.88   5.23   7.91  11.76   21.0   3863    1.0
cases_infect[129]      7.44    0.07   4.01   1.62   4.57   6.73   9.54  17.31   3752    1.0
cases_infect[130]      6.74    0.06   3.54   1.58   4.15   6.11   8.77   15.1   3914    1.0
cases_infect[131]      6.63    0.06   3.47   1.61   4.09   6.07   8.56  14.83   3852    1.0
cases_infect[132]      6.83    0.06   3.49   1.69   4.23   6.37   8.83  14.97   3938    1.0
cases_infect[133]      7.33    0.06   3.68   1.76   4.56   6.84   9.42  15.86   3654    1.0
cases_infect[134]      8.33    0.07   4.12   2.04   5.26   7.69  10.71  17.75   3606    1.0
cases_infect[135]      10.5    0.08    5.0   2.79   6.78   9.79  13.36  22.01   3603    1.0
cases_infect[136]     16.61    0.13   8.22   4.27  10.76  15.43  21.14  36.29   4086    1.0
cases_infect[137]      27.4    0.22  13.01   7.24  17.39  25.93  35.66  56.38   3611    1.0
cases_infect[138]     33.91    0.28  17.06   7.64  21.07  31.44  44.61  71.45   3609    1.0
lp__                  6.3e4    0.64  29.39  6.3e4  6.3e4  6.3e4  6.3e4  6.3e4   2117    1.0

Samples were drawn using NUTS at Sat May 23 15:19:22 2020.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
