Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
Rt[65]                 1.02  6.4e-3   0.38   0.35   0.76   0.99   1.26   1.85   3601    1.0
Rt[66]                 1.04  6.3e-3   0.39   0.36   0.77   1.02   1.29   1.89   3930    1.0
Rt[67]                 1.03  6.6e-3   0.39   0.32   0.76    1.0   1.27   1.88   3533    1.0
Rt[68]                 1.06  6.4e-3    0.4   0.36   0.78   1.04   1.32   1.92   3923    1.0
Rt[69]                 1.08  6.5e-3   0.38    0.4   0.81   1.06   1.32   1.89   3486    1.0
Rt[70]                 1.06  6.4e-3   0.37   0.39    0.8   1.04   1.29   1.85   3467    1.0
Rt[71]                 0.98  5.7e-3   0.36   0.34   0.74   0.95    1.2   1.74   3830    1.0
Rt[72]                 0.91  5.4e-3   0.33   0.32   0.68    0.9   1.12    1.6   3795    1.0
Rt[73]                 0.89  6.0e-3   0.33   0.29   0.66   0.88    1.1    1.6   3003    1.0
Rt[74]                 0.87  5.5e-3   0.33   0.28   0.64   0.85   1.08    1.6   3600    1.0
Rt[75]                 0.83  4.8e-3   0.31   0.28    0.6    0.8   1.03   1.51   4217    1.0
Rt[76]                 0.77  5.3e-3   0.31   0.22   0.55   0.75   0.96   1.41   3399    1.0
Rt[77]                 0.74  5.2e-3    0.3    0.2   0.52   0.72   0.93    1.4   3375    1.0
Rt[78]                 0.85  5.1e-3   0.32   0.29   0.62   0.83   1.05   1.51   3817    1.0
Rt[79]                 1.24  5.6e-3   0.35   0.62   0.99   1.22   1.47   1.97   3971    1.0
Rt[80]                 1.85  6.3e-3    0.4   1.13   1.56   1.82   2.11   2.68   3995    1.0
Rt[81]                  2.4  6.8e-3   0.42   1.62    2.1   2.38   2.67   3.26   3929    1.0
Rt[82]                 2.65  6.5e-3   0.41   1.91   2.37   2.63   2.93   3.49   4054    1.0
Rt[83]                 2.63  6.0e-3   0.37   1.95   2.38   2.61   2.87   3.38   3746    1.0
Rt[84]                  2.5  5.0e-3   0.31   1.92   2.28   2.49   2.71   3.16   3932    1.0
Rt[85]                 2.41  4.3e-3   0.26   1.93   2.23    2.4   2.58   2.94   3604    1.0
